Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,2116.949951,2116.949951,2081.000000,2092.600098,2092.600098,5162088
2021-07-09,2088.000000,2091.699951,2066.100098,2071.199951,2071.199951,4170886
2021-07-12,2079.750000,2101.500000,2074.500000,2084.100098,2084.100098,3962111
2021-07-13,2100.000000,2103.050049,2088.050049,2099.699951,2099.699951,3099956
2021-07-14,2100.350098,2106.850098,2081.250000,2086.000000,2086.000000,3937768
2021-07-15,2095.000000,2095.000000,2078.500000,2082.350098,2082.350098,4360415
2021-07-16,2087.750000,2114.750000,2087.600098,2112.399902,2112.399902,4074206
2021-07-19,2100.000000,2124.000000,2092.250000,2098.949951,2098.949951,3855577
2021-07-20,2099.500000,2108.000000,2084.000000,2093.800049,2093.800049,3111185
2021-07-22,2119.000000,2123.899902,2098.149902,2120.699951,2120.699951,3679260
2021-07-23,2134.449951,2134.449951,2102.050049,2105.699951,2105.699951,4585938
2021-07-26,2108.000000,2121.000000,2071.100098,2076.850098,2076.850098,5717830
2021-07-27,2076.800049,2083.699951,2042.000000,2055.000000,2055.000000,4995516
2021-07-28,2058.000000,2058.000000,2016.250000,2037.349976,2037.349976,5952355
2021-07-29,2054.000000,2074.399902,2043.400024,2053.250000,2053.250000,6352886
2021-07-30,2058.000000,2067.949951,2031.099976,2035.300049,2035.300049,5238304
2021-08-02,2054.300049,2079.399902,2041.150024,2072.500000,2072.500000,5041934
2021-08-03,2090.000000,2091.000000,2064.199951,2087.750000,2087.750000,5453682
2021-08-04,2094.399902,2114.000000,2087.000000,2103.750000,2103.750000,6077861
2021-08-05,2114.300049,2154.800049,2104.250000,2134.250000,2134.250000,9807831
2021-08-06,2129.949951,2146.949951,2078.750000,2089.050049,2089.050049,7670583
2021-08-09,2081.000000,2089.800049,2066.500000,2077.149902,2077.149902,3458546
2021-08-10,2082.000000,2113.000000,2073.750000,2088.050049,2088.050049,5500708
2021-08-11,2096.949951,2120.000000,2083.399902,2117.300049,2117.300049,4238859
2021-08-12,2124.899902,2126.199951,2105.000000,2110.500000,2110.500000,3755507
2021-08-13,2117.300049,2149.899902,2108.949951,2145.649902,2145.649902,5898384
2021-08-16,2149.350098,2203.000000,2128.149902,2173.500000,2173.500000,10123204
2021-08-17,2168.850098,2185.199951,2147.850098,2164.250000,2164.250000,5841743
2021-08-18,2174.000000,2186.800049,2152.600098,2172.649902,2172.649902,4650008
2021-08-20,2143.000000,2172.000000,2137.000000,2148.250000,2148.250000,4350228
2021-08-23,2174.000000,2174.000000,2132.300049,2162.350098,2162.350098,4547802
2021-08-24,2165.050049,2192.000000,2155.600098,2183.699951,2183.699951,5475452
2021-08-25,2185.399902,2220.000000,2180.100098,2202.600098,2202.600098,6175126
2021-08-26,2208.000000,2244.899902,2205.000000,2230.449951,2230.449951,8579105
2021-08-27,2237.000000,2242.750000,2216.050049,2227.399902,2227.399902,4836812
2021-08-30,2250.000000,2275.850098,2236.800049,2270.250000,2270.250000,6473487
2021-08-31,2276.899902,2283.750000,2242.250000,2258.149902,2258.149902,12223037
2021-09-01,2273.000000,2292.899902,2263.000000,2267.100098,2267.100098,5143640
2021-09-02,2255.000000,2307.800049,2255.000000,2294.399902,2294.399902,4595048
2021-09-03,2310.000000,2395.000000,2302.500000,2388.500000,2388.500000,14151629
2021-09-06,2413.000000,2480.000000,2412.000000,2425.600098,2425.600098,15525644
2021-09-07,2430.000000,2458.000000,2412.000000,2440.899902,2440.899902,8006968
2021-09-08,2452.000000,2454.000000,2406.649902,2431.350098,2431.350098,6600210
2021-09-09,2427.899902,2437.850098,2416.100098,2425.600098,2425.600098,4136538
2021-09-13,2433.000000,2433.000000,2368.050049,2371.550049,2371.550049,7527598
2021-09-14,2375.000000,2394.000000,2366.000000,2368.449951,2368.449951,4111205
2021-09-15,2368.500000,2395.750000,2368.500000,2378.300049,2378.300049,4186300
2021-09-16,2381.550049,2436.750000,2367.000000,2428.199951,2428.199951,6206657
2021-09-17,2446.000000,2455.850098,2375.600098,2390.550049,2390.550049,16098099
2021-09-20,2372.100098,2418.350098,2370.000000,2394.350098,2394.350098,5436385
2021-09-21,2405.000000,2416.600098,2384.000000,2404.699951,2404.699951,4576111
2021-09-22,2408.000000,2442.000000,2398.250000,2430.500000,2430.500000,5074612
2021-09-23,2447.399902,2497.000000,2445.500000,2489.899902,2489.899902,7267883
2021-09-24,2503.550049,2505.449951,2472.000000,2482.699951,2482.699951,7011181
2021-09-27,2487.000000,2529.899902,2475.300049,2524.449951,2524.449951,7095022
2021-09-28,2534.000000,2564.899902,2512.800049,2548.050049,2548.050049,8323269
2021-09-29,2570.000000,2570.000000,2520.050049,2527.850098,2527.850098,4485721
2021-09-30,2525.000000,2534.600098,2500.350098,2519.250000,2519.250000,6272085
2021-10-01,2501.949951,2539.800049,2495.000000,2523.699951,2523.699951,4134544
2021-10-04,2553.000000,2574.850098,2537.050049,2556.149902,2556.149902,5038910
2021-10-05,2555.100098,2612.000000,2547.350098,2609.199951,2609.199951,6245770
2021-10-06,2619.949951,2619.949951,2551.100098,2559.850098,2559.850098,4734472
2021-10-07,2595.000000,2598.750000,2567.699951,2572.399902,2572.399902,2924370
2021-10-08,2585.250000,2684.399902,2581.500000,2671.250000,2671.250000,7279003
2021-10-11,2701.399902,2720.000000,2645.350098,2652.649902,2652.649902,6815737
2021-10-12,2645.000000,2683.000000,2641.250000,2667.800049,2667.800049,3083747
2021-10-13,2679.000000,2719.500000,2669.300049,2694.949951,2694.949951,4596429
2021-10-14,2700.350098,2717.449951,2687.199951,2700.399902,2700.399902,3979730
